ETF1,ETF2,Pass %
IWM,SPSM,0.7708333333333334
SPLG,IWB,0.75
SPY,VOO,0.75
IVW,SPYG,0.75
VTWO,SPSM,0.75
SPY,IVV,0.7291666666666666
VTWO,IWM,0.7291666666666666
IVV,VOO,0.7083333333333334
IVE,SPYV,0.6666666666666666
IUSV,IWD,0.5833333333333334
ITOT,SCHB,0.5416666666666666
VTI,ITOT,0.5416666666666666
SPLG,SCHX,0.5
SPLG,VO,0.4791666666666667
VTI,SCHB,0.4791666666666667
IWD,SPHQ,0.4791666666666667
SCHV,SPHQ,0.4375
SPLG,ITOT,0.4375
SPY,VO,0.4375
SCHX,VO,0.4166666666666667
DVY,FVD,0.4166666666666667
RSP,DIA,0.4166666666666667
